scenario,policy,mean,var,cvar
P_bar,agent,3714.41552734375,7295.33203125,9534.5771484375
P_bar,bs_delta,2939.2373046875,8424.6953125,11672.6943359375
P_bar,no_hedge,3146.22265625,9219.3291015625,12748.7900390625
stress_corner,agent,5497.01611328125,10473.1220703125,13601.158203125
stress_corner,bs_delta,4760.2685546875,14271.458984375,18894.177734375
stress_corner,no_hedge,4464.5703125,14116.71484375,19757.091796875
worst_corner,agent,4985.009765625,9818.703125,12742.1103515625
worst_corner,bs_delta,4127.2451171875,12702.0615234375,17529.08203125
worst_corner,no_hedge,4040.107421875,12865.4541015625,18112.087890625
